"Observation station","Year","Month","Day","Time [Local time]","Maximum temperature [°C]","Minimum temperature [°C]","Average temperature [°C]"
"Helsinki Kumpula","2026","1","5","07:00","-18.3","-18.8","-18.5"
"Helsinki Kumpula","2026","1","5","08:00","-18.2","-18.8","-18.4"
"Helsinki Kumpula","2026","1","5","09:00","-18.2","-18.9","-18.6"
"Helsinki Kumpula","2026","1","5","10:00","-18.6","-19.1","-18.9"
"Helsinki Kumpula","2026","1","5","11:00","-17.8","-18.9","-18.3"
"Helsinki Kumpula","2026","1","5","12:00","-15.8","-17.8","-16.8"
"Helsinki Kumpula","2026","1","5","13:00","-14.4","-15.8","-15"
"Helsinki Kumpula","2026","1","5","14:00","-13","-14.3","-13.6"
"Helsinki Kumpula","2026","1","5","15:00","-12.8","-14","-13.5"
"Helsinki Kumpula","2026","1","5","16:00","-13","-14.1","-13.6"
"Helsinki Kumpula","2026","1","5","17:00","-12.7","-13.6","-13.1"
"Helsinki Kumpula","2026","1","5","18:00","-12.4","-13.7","-12.9"
"Helsinki Kumpula","2026","1","5","19:00","-11.5","-12.5","-12.2"
"Helsinki Kumpula","2026","1","5","20:00","-10.9","-11.6","-11.3"
"Helsinki Kumpula","2026","1","5","21:00","-10.2","-11.4","-10.7"
"Helsinki Kumpula","2026","1","5","22:00","-10.8","-12.8","-12.2"
