,USAF,YR--MODAHRMN,TEMP,MAX,MIN,Celsius
8770,29980,201705010000,37.0,,,2.7777777777777777
8771,29980,201705010100,37.0,,,2.7777777777777777
8772,29980,201705010200,37.0,,,2.7777777777777777
8773,29980,201705010300,37.0,,,2.7777777777777777
8774,29980,201705010400,39.0,,,3.888888888888889
8775,29980,201705010500,41.0,,,5.0
8776,29980,201705010600,44.0,44.0,35.0,6.666666666666666
8777,29980,201705010700,45.0,,,7.222222222222222
8778,29980,201705010800,48.0,,,8.88888888888889
8779,29980,201705010900,51.0,,,10.555555555555555
8780,29980,201705011000,52.0,,,11.11111111111111
8781,29980,201705011100,51.0,,,10.555555555555555
8782,29980,201705011200,54.0,,,12.222222222222221
8783,29980,201705011300,49.0,,,9.444444444444445
8784,29980,201705011400,50.0,,,10.0
8785,29980,201705011500,52.0,,,11.11111111111111
8786,29980,201705011600,50.0,,,10.0
8787,29980,201705011700,52.0,,,11.11111111111111
8788,29980,201705011800,48.0,54.0,43.0,8.88888888888889
8789,29980,201705011900,48.0,,,8.88888888888889
8790,29980,201705012000,46.0,,,7.777777777777778
8791,29980,201705012100,44.0,,,6.666666666666666
8792,29980,201705012200,42.0,,,5.555555555555555
8793,29980,201705012300,39.0,,,3.888888888888889
8794,29980,201705020000,38.0,,,3.333333333333333
8795,29980,201705020100,36.0,,,2.2222222222222223
8796,29980,201705020200,36.0,,,2.2222222222222223
8797,29980,201705020300,35.0,,,1.6666666666666665
8798,29980,201705020400,40.0,,,4.444444444444445
8799,29980,201705020500,46.0,,,7.777777777777778
8800,29980,201705020600,50.0,50.0,34.0,10.0
8801,29980,201705020700,54.0,,,12.222222222222221
8802,29980,201705020800,52.0,,,11.11111111111111
8803,29980,201705020900,53.0,,,11.666666666666666
8804,29980,201705021000,55.0,,,12.777777777777777
8805,29980,201705021100,55.0,,,12.777777777777777
8806,29980,201705021200,57.0,,,13.88888888888889
8807,29980,201705021300,60.0,,,15.555555555555555
8808,29980,201705021400,60.0,,,15.555555555555555
8809,29980,201705021500,59.0,,,15.0
8810,29980,201705021600,57.0,,,13.88888888888889
8811,29980,201705021700,56.0,,,13.333333333333332
8812,29980,201705021800,53.0,61.0,49.0,11.666666666666666
8813,29980,201705021900,50.0,,,10.0
8814,29980,201705022000,49.0,,,9.444444444444445
8815,29980,201705022100,46.0,,,7.777777777777778
8816,29980,201705022200,46.0,,,7.777777777777778
8817,29980,201705022300,44.0,,,6.666666666666666
8818,29980,201705030000,42.0,,,5.555555555555555
8819,29980,201705030100,40.0,,,4.444444444444445
8820,29980,201705030200,39.0,,,3.888888888888889
8821,29980,201705030300,39.0,,,3.888888888888889
8822,29980,201705030400,42.0,,,5.555555555555555
8823,29980,201705030500,44.0,,,6.666666666666666
8824,29980,201705030600,47.0,53.0,38.0,8.333333333333334
8825,29980,201705030700,50.0,,,10.0
8826,29980,201705030800,50.0,,,10.0
8827,29980,201705030900,53.0,,,11.666666666666666
8828,29980,201705031000,54.0,,,12.222222222222221
8829,29980,201705031100,56.0,,,13.333333333333332
8830,29980,201705031200,56.0,,,13.333333333333332
8831,29980,201705031300,56.0,,,13.333333333333332
8832,29980,201705031400,55.0,,,12.777777777777777
8833,29980,201705031500,54.0,,,12.222222222222221
8834,29980,201705031600,54.0,,,12.222222222222221
8835,29980,201705031700,53.0,,,11.666666666666666
8836,29980,201705031800,51.0,57.0,47.0,10.555555555555555
8837,29980,201705031900,49.0,,,9.444444444444445
8838,29980,201705032000,48.0,,,8.88888888888889
8839,29980,201705032100,46.0,,,7.777777777777778
8840,29980,201705032200,45.0,,,7.222222222222222
8841,29980,201705032300,43.0,,,6.111111111111111
8842,29980,201705040000,41.0,,,5.0
8843,29980,201705040100,40.0,,,4.444444444444445
8844,29980,201705040200,38.0,,,3.333333333333333
8845,29980,201705040300,38.0,,,3.333333333333333
8846,29980,201705040400,40.0,,,4.444444444444445
8847,29980,201705040500,43.0,,,6.111111111111111
8848,29980,201705040600,45.0,51.0,37.0,7.222222222222222
8849,29980,201705040700,47.0,,,8.333333333333334
8850,29980,201705040800,48.0,,,8.88888888888889
8851,29980,201705040900,49.0,,,9.444444444444445
8852,29980,201705041000,51.0,,,10.555555555555555
8853,29980,201705041100,49.0,,,9.444444444444445
8854,29980,201705041200,49.0,,,9.444444444444445
8855,29980,201705041300,51.0,,,10.555555555555555
8856,29980,201705041400,48.0,,,8.88888888888889
